cohort,pht,datatablename,associatedvisit,associatedvisit_expr,xassociatedvisit,participantidphv,ageinyearsphv,ageinyears_expr,notes,drop_table
FHS,pht000080,crp1_2s,FHS OFFSPRING EXAM 2,,,phv00021692,phv00177932,,,
FHS,pht000081,crp1_6s,FHS OFFSPRING EXAM 6,,,phv00021695,phv00177940,,,
FHS,pht000083,carotid1_6s,FHS OFFSPRING EXAM 6,,,phv00021738,phv00177940,,,
FHS,pht000084,fib1_5s,FHS OFFSPRING EXAM 5,,,phv00021741,phv00177938,,,
FHS,pht000085,fib1_6s,FHS OFFSPRING EXAM 6,,,phv00021746,phv00177940,,,
FHS,pht000086,fib0_21s,,,FHS ORIGINAL EXAM 20-21,phv00021752,,,,
FHS,pht000094,icd0_19s,,,FHS ORIGINAL EXAM 2-19,phv00021961,,,,
FHS,pht000098,act1_5s,FHS OFFSPRING EXAM 6,,,phv00022305,phv00177940,,,
FHS,pht000100,psych1_3s,FHS OFFSPRING EXAM 3,,,phv00022553,phv00177934,,,
FHS,pht000101,pft1_5s,FHS OFFFSPRING EXAM 5,,,phv00022566,phv00177938,,,
FHS,pht000102,pft3_1s,FHS GENERATION 3 EXAM 1,,,phv00022579,phv00177930,,,
FHS,pht000103,,FHS ORIGINAL EXAM 19,,,phv00022662,phv00177966,,,
FHS,pht000104,pft1_6s,FHS OFFSPRING EXAM 6,,,phv00022675,phv00177940,,,
FHS,pht000105,pft1_3s,FHS OFFSPRING EXAM 3,,,phv00022687,phv00177934,,,
FHS,pht000106,pft1_7s,FHS OFFSPRING EXAM 7,,,phv00022700,phv00177942,,,
FHS,pht000107,resp1_6s,,,FHS OFFSPRING EXAM 5-6,phv00022726,,,look at phv00022702 for specific visit,
FHS,pht000138,ank0_23s,FHS ORIGINAL EXAM 23,,,phv00023146,phv00177974,,,
FHS,pht000139,,FHS OFFSPRING EXAM 7,,,phv00023157,phv00177942,,,
FHS,pht000140,,FHS GENERATION 3 EXAM 1,,,phv00023166,phv00177930,,,
FHS,pht000144,ct3_1s,FHS GENERATION 3 EXAM 1,,,phv00023198,phv00177930,,,
FHS,pht000145,ct1_7s,FHS OFFSPRING EXAM 7,,,phv00023204,phv00177942,,,
FHS,pht000146,creacys1_7s,FHS OFFSPRING EXAM 7,,,phv00023209,phv00177942,,,
FHS,pht000147,ebct1_7s,,,FHS OFFSPRING EXAM 6-7,phv00023247,,,not sure how to separate exam 6 and 7,
FHS,pht000149,ecgdigital_18s,,,"FHS ORIGINAL EXAM 16-18, OFFSPRING EXAM 2",phv00023494,,,need to look at phv00023254 to get visit,
FHS,pht000160,psipi_2003s,FHS PSIP,,,phv00023794,,,use phv00023788 to get cohort,
FHS,pht000172,psipr_2003s,"FHS PSIP ORIGINAL, OFFSPRING",,,phv00023901,,,,
FHS,pht000183,Framingham_Pedigree,FHS SHARE,,,phv00024068,,,,
FHS,pht000194,brach3_1s,FHS GENERATION 3 EXAM 1,,,phv00024437,phv00177930,,,
FHS,pht000195,brach1_7s,FHS OFFSPRING EXAM 7,,,phv00024510,phv00177942,,,
FHS,pht000196,,FHS Cardiac MRI Left Ventricular Hypertrophy,,,phv00024536,,,Use phv00024511 to pick cohort,
FHS,pht000197,hrv_1987s,,FHS Heart Rate Variability,,phv00024558,,,use phv00024555 & phv00024556 to pick the cohort and visit,
FHS,pht000198,vr_raceall_2011_a_1257s,FHS OFFSPRING EXAM 5,,,phv00024576,phv00177938,,,
FHS,pht000209,t_tonla_ex07_1b_1231s,,,"FHS OFFSPRING EXAM 7, OMNI 1 EXAM 2",phv00024802,,,look at phv00024759 to pick the visit,
FHS,pht000210,t_tonla_ex01_3b_1234s,,,"FHS GENERATION 3 EXAM 1, NEW OFFSPRING SPOUSE EXAM 1, OMNI 2 EXAM 1",phv00024846,phv00177930,,use phv00024803 to disambiguate cohort,
FHS,pht000211,t_tonla_ex26_0_1229s,FHS ORIGINAL EXAM 26,,,phv00024907,phv00177980,,,
FHS,pht000299,ecg_alls,,,"FHS ORIGINAL EXAM 11, OFFSPRING EXAM 1, GENERATION 3 EXAM 1",phv00036379,,,need to look at phv00036348 to get visit,
FHS,pht000313,urine3_1s,FHS GENERATION 3 EXAM 1,,,phv00036496,phv00177930,,,
FHS,pht000393,natpep1_6s,FHS OFFSPRING EXAM 6,,,phv00055163,phv00177940,,,
FHS,pht000394,wktest1_7s,FHS OFFSPRING EXAM 7,,,phv00055249,phv00177942,,,
FHS,pht000395,t_sleephhs_1998_1b_1056s,FHS Sleep Heart Health Study (SHHS) Baseline,,,phv00056635,,,"this is a weird one. The SHHS dataset is a derived dataset that uses previously collected measurements from other FHS tables, plus adds some new ones. Age and visit are both obscured by the derivation",
FHS,pht000396,t_sleephhs_1999_1b_1057s,FHS Sleep Heart Health Study (SHHS) Follow Up 1,,,phv00056722,,,,
FHS,pht000397,t_sleephhs_2003_1b_1058s,FHS Sleep Heart Health Study (SHHS) Follow Up 2,,,phv00057982,,,,
FHS,pht000673,t_pat_2005_m_0259s,,"case(({phv00066749} == 0, ''FHS ORIGINAL EXAM 28''), ({phv00066749} == 2, ''FHS NEW OFFSPRING SPOUSE EXAM 1''), ({phv00066749} == 3, ''FHS GENERATION 3 EXAM 1''), ({phv00066749} == 72, ''FHS OMNI 2 EXAM 1''), (True, ''FHS UNKNOWN VISIT'')))",,phv00066765,,,look at phv00066749 to pick the visit,
FHS,pht000680,ffreq1_5s,FHS OFFSPRING EXAM 5,,,phv00068241,phv00177938,,,
FHS,pht000681,ffreq1_6s,FHS OFFSPRING EXAM 6,,,phv00068713,phv00177940,,,
FHS,pht000682,ffreq1_7s,FHS OFFSPRING EXAM 7,,,phv00069162,phv00177942,,,
FHS,pht000685,ntx1_7s,FHS OFFSPRING EXAM 7,,,phv00069668,phv00177942,,,
FHS,pht000688,insulin3_1s,FHS GENERATION 3 EXAM 1,,,phv00069685,phv00177930,,,
FHS,pht000692,ex0_28s,FHS ORIGINAL EXAM 28,,,phv00070736,phv00177984,,,
FHS,pht000742,fhslab1_8s,FHS OFFSPRING EXAM 8,,,phv00071899,phv00177944,,,
FHS,pht000744,,"FHS DVT ORIGINAL, OFFSPRING, NEW OFFSPRING SPOUSE, GENERATION 3, OMNI1, OMNI2",,,phv00071949,,,,
FHS,pht000745,,FHS ECG,,,phv00072018,,,look at phv00072013 to disambiguate visit FHS OFFSPRING AND OMNI 1 SHHS,
FHS,pht000747,ex1_8s,FHS OFFSPRING EXAM 8,,,phv00072580,phv00177944,,,
FHS,pht000748,t_pat_ex08_1b_0230s,,"case(({phv00072619} == 1, ''FHS Offspring Exam 8''), ({phv00072619} == 7, ''FHS Omni 1 Exam 3''), (True, ''FHS UNKNOWN VISIT'')))",,phv00072715,,,look at phv00072619 to pick visit,
FHS,pht000823,bnp3_1s,FHS GENERATION 3 EXAM 1,,,phv00073729,phv00177930,,,
FHS,pht000830,dopecho0_20s,FHS ORIGINAL EXAM 20,,,phv00073819,phv00177968,,,
FHS,pht000832,pft1_8s,FHS OFFSPRING EXAM 8,,,phv00073843,phv00177944,,,
FHS,pht000907,imtcarotid1_6s,FHS OFFSPRING EXAM 6,,,phv00076368,phv00177940,,,
FHS,pht001039,l_cortisol_ex06_1b_0495s,,,"Offspring Exams 5, 6, and Omni 1 Exam 1",phv00080759,,,use  phv00080750 + phv00080751 to pick visit,
FHS,pht001045,laba0_20s,,,FHS ORIGINAL EXAM 20 AND EXAM 21,phv00081012,,,need to look at phv00081047 to see which is 20 and which is 21 FHS ORIGINAL EXAM 20 AND EXAM 21,
FHS,pht002150,vr_ffreq_ex01_3_0587s,FHS GENERATION 3 EXAM 1,,,phv00157296,phv00177930,,,
FHS,pht002151,ffreq0_20s,FHS ORIGINAL EXAM 20,,,phv00157771,phv00177968,,,
FHS,pht002152,,FHS ORIGINAL EXAM 21,,,phv00158091,phv00177970,,,
FHS,pht002153,ffreq0_22s,FHS ORIGINAL EXAM 22,,,phv00158540,phv00177972,,,
FHS,pht002234,l_mtbli1_ex05_1_0610s,FHS OFFSPRING EXAM 5,,,phv00159494,phv00177938,,,
FHS,pht002350,vr_ffreq_ex08_1_0615s,FHS OFFSPRING EXAM 8,,,phv00162112,phv00177944,,,
FHS,pht002425,l_emppmp_ex08_1_0489s,FHS OFFSPRING EXAM 8,,,phv00163426,phv00177944,,,
FHS,pht002566,l_mtbli2_ex05_1_0660s,FHS OFFSPRING EXAM 5,,,phv00166779,phv00177938,,,
FHS,pht002572,t_echo_2008_m_0549s,,,"FHS OFFSPRING EXAM 8, NEW OFFSPRING SPOUSE EXAM 1, OMNI 1 EXAM 3, OMNI 2 EXAM 1",phv00166999,,,look at phv00167000 to pick the visit,
FHS,pht002573,t_echo_ex01_3_0042s,FHS GENERATION 3 EXAM 1,,,phv00167131,phv00177930,,,
FHS,pht002889,l_fhslab_2011_m_0656s,,,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",phv00172159,phv00177932,,look at phv00172160 to disambiguate,
FHS,pht002895,l_mtbli3_ex05_1_0707s,FHS OFFSPRING EXAM 5,,,phv00172304,phv00177938,,,
FHS,pht002900,vr_ffreq_ex02_3b_1345s,,,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",phv00172393,phv00177932,,use phv00173095 to get visit,
FHS,pht003094,e_exam_ex02_3b_0017s,,"case(({phv00177238} == 2, ''FHS New Offspring Spouse Exam 2''), ({phv00177238} == 3, ''FHS Generation 3 Exam 2''), ({phv00177238} == 72, ''FHS OMNI 2 EXAM 2''), (True, ''FHS UNKNOWN VISIT'')))",,phv00177237,phv00177932,,look at phv00177238 to pick the visit,
FHS,pht003099,vr_dates_2022_a_1487s,,FHS COHORT,,phv00177926,,,look at phv00177928 to get visit,
FHS,pht003316,vr_survcvd_2021_a_1453s,,,"FHS FOLLOW UP ORIGINAL, OFFSPRING, GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 1, OMNI 2",phv00190814,,,,
FHS,pht003317,vr_survdth_2021_a_1452s,,,"FHS SURVIVAL ORIGINAL, OFFSPRING, GENERATION 3, NEW OFFSPRING SPOUSE, OMNI1, OMNI 2",phv00190826,,,,
FHS,pht003632,t_pftprealb_2011_m_0646s,,,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 2",phv00196546,phv00177932,,use phv00196547 to disambiguate visit,
FHS,pht003634,,FHS ORIGINAL EXAM 18,,,phv00003637,phv00177964,,,
FHS,pht003901,l_insulin_2008_m_0704s,,,Offspring Exam 8 and Omni 1 Exam 3,phv00201989,,,use phv00201989 & phv00201990 to disambiguate visit,
FHS,pht003902,l_insulin_2011_m_0703s,,,"GENERATION 3 EXAM 2, NEW OFFSPRING SPOUSE EXAM 2, OMNI 2 EXAM 2",phv00201993,phv00177932,,look at phv00201994 to disambiguate visit,
FHS,pht004362,l_umtbl_ex06_1_0742s,FHS OFFSPRING EXAM 6,,,phv00219228,phv00177940,,,
FHS,pht004363,l_uralcrea_ex07_1b_0380s,,,"FHS OFFSPRING EXAM 7, OMNI 1 EXAM 2",phv00219544,,,use phv00219545 to disambiguate visit,
FHS,pht004374,vr_npd_2022_a_1471s,FHS Neuropsychology Tests,,,phv00220821,,,,
FHS,pht004375,vr_npka_1978_0_0872s,,,FHS ORIGINAL EXAM 14-15,phv00220863,,,,
FHS,pht004801,l_fhslab_ex01_7_0270s,FHS OMNI 1 EXAM 1,,,phv00227012,phv00177930,,,
FHS,pht004802,l_fhslab_ex09_1b_0658s,,,"FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4",phv00227023,,,look at phv00227024 to pick the visit,
FHS,pht004805,l_insulin_ex09_1b_0882s,,,Offspring Exam 9 and Omni 1 Exam 4,phv00227082,,,use phv00227082 & phv00227083 to pick the visit,
FHS,pht004806,l_platagg_ex01_7_0236s,FHS OMNI 1 EXAM 1,,,phv00227087,phv00177930,,,
FHS,pht004809,l_urine24_ex09_1b_0857s,,,"FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4",phv00227261,,,look at phv00227262 to pick visit,
FHS,pht004813,,FHS Omni 1 Clinic Exam 1,,,phv00250282,phv00177930,,,
FHS,pht004814,e_exam_ex02_7_0003s,FHS OMNI 1 EXAM 2,,,phv00250718,phv00177932,,,
FHS,pht004815,e_exam_ex03_7_0426s,FHS OMNI 1 EXAM 3,,,phv00251262,phv00177934,,,
FHS,pht005140,e_exam_ex09_1b_0844s,,"case(({phv00254011} == 1, ''FHS Offspring Exam 9''), ({phv00254011} == 7, ''FHS Omni 1 Exam 4''), (True, ''FHS UNKNOWN VISIT'')))",,phv00254010,,,look at phv00254011 to disambiguate visit,
FHS,pht005141,e_exam_ex29_0_0210s,FHS ORIGINAL EXAM 29,,,phv00254596,phv00226999,,,
FHS,pht005142,e_exam_ex30_0_0274s,FHS ORIGINAL EXAM 30,,,phv00254989,phv00227002,,,
FHS,pht005143,l_fhslab_ex01_3b_0800s,,,"FHS NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1",phv00255339,phv00177930,,use phv00255340 to disambiguate visti,
FHS,pht005144,l_mtbnegam1_ex01_3_0956s,FHS GENERATION 3 EXAM 1,,,phv00255349,phv00177930,,,
FHS,pht005147,l_rnapilot_ex08_1_0918s,FHS OFFSPRING EXAM 8,,,phv00255463,phv00177944,,,
FHS,pht005149,,,"case(({phv00257537} == 2, ''FHS New Offspring Spouse Exam 2''), ({phv00257537} == 3, ''FHS Generation 3 Exam 2''), ({phv00257537} == 72, ''FHS Omni 2 Exam 2''), (True, ''FHS UNKNOWN VISIT'')))",,phv00257536,phv00177932,,look at phv00257537 to disambiguate cohort,
FHS,pht005150,,,"case(({phv00257556} == 1, ''FHS Offspring Exam 9''), ({phv00257556} == 7, ''FHS Omni 1 Exam 4''), (True, ''FHS UNKNOWN VISIT'')))",,phv00257555,,,look at phv00257556 to disambiguate visit FHS OFFSPRING EXAM 9 AND OMNI 1 EXAM 4,
FHS,pht005161,t_ctthrcac_2011_m_0682s,FHS CT - Thoracic Coronary Artery Calcium Score and Volume,,,phv00257668,,,use phv00257669 to disambiguate cohort,
FHS,pht005169,t_pftpreal_ex09_1b_0867s,,,"FHS OFFSPRING EXAM 9, OMNI 1 EXAM 4",phv00257829,,,use phv00257830 to disambiguate visit,
FHS,pht005170,t_pftprealb_2005_m_0759s,,,"FHS NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1",phv00257846,phv00177930,,use phv00257848 to disambiguate visit,
FHS,pht006005,e_exam_ex01_2_0813s,FHS NEW OFFSPRING SPOUSE EXAM 1,,,phv00273700,phv00177930,,,
FHS,pht006006,,FHS Omni 2 Exam 1,,,phv00274193,phv00177930,,,
FHS,pht006007,e_exam_ex31_0_0738s,FHS ORIGINAL EXAM 31,,,phv00274708,phv00227005,,,
FHS,pht006008,e_exam_ex32_0_0939s,FHS ORIGINAL EXAM 32,,,phv00275063,phv00227008,,,
FHS,pht006010,l_fhslab_ex02_7_0561s,FHS OMNI 1 EXAM 2,,,phv00275400,phv00177932,,,
FHS,pht006011,l_fhslab_ex03_7_0267s,FHS OMNI 1 EXAM 3,,,phv00275410,phv00177934,,,
FHS,pht006013,l_proapt2_ex05_1_1113s,FHS OFFSPRING EXAM 5,,,phv00275427,phv00177938,,,
FHS,pht006018,vr_chfinit_2013_a_0828s,FHS CHF CASE REVIEW,,,phv00276803,,,,
FHS,pht006023,vr_svstk_2021_a_1455s,FHS STROKE ,,,phv00276963,,,use phv00276964 to get cohort,
FHS,pht006024,vr_svstktia_2021_a_1451s,FHS STROKE/TIA,,,phv00276969,,,use phv00276970 to get cohort,
FHS,pht006025,vr_vte_2020_a_1330s,FHS Venous Thrombosis Review,,,phv00276975,,,,
FHS,pht006026,vr_wkthru_ex03_3b_1191s,,,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1-3",phv00277015,,,visit a compound of phvs for cohort and exam number in variable description. Do manually,
FHS,pht007775,vr_diab_ex03_3b_1312s,,,"FHS GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 2 EXAM 1-2",phv00369581,,,use phv00369582 to get visit,
FHS,pht007776,vr_soechf_2016_a_1070s,,,"FHS EVENT REVIEW ORIGINAL, OFFSPRING, GENERATION 3, NEW OFFSPRING SPOUSE, OMNI 1, OMNI 2",phv00369587,,,use phv00369588 to get visit & phv00369637 to get cohort,
FHS,pht007777,vr_wkthru_ex32_0_0997s,,,FHS ORIGINAL,phv00369651,,,"will need to look in variable description for exam, and find separate variables for age at each exam",
FHS,pht009755,l_lipids_ex12_0_0342s,,,,phv00423778,,,use phv00423780 to disambiguate visit,
FHS,pht009760,vr_raceall_2011_a_1257s,FHS RACE,,,phv00423847,,,,
FHS,pht009761,vr_wkthru_ex10_1b_1488s,,,,phv00423868,,,"will need to look in variable description for specific exam, look at phv00423869 for cohort",
FHS,pht010724,,,"case(({phv00461745} == 2, ''FHS New Offspring Spouse Exam 3''), ({phv00461745} == 3, ''FHS Generation 3 Exam 3''), ({phv00461745} == 72, ''FHS Omni 2 Exam 3''), (True, ''FHS UNKNOWN VISIT'')))",,phv00461744,phv00177934,,use phv00461745 to disambiguate visit,
FHS,pht010725,l_dbtlab_ex07_1b_1237s,,,"Offspring Exams 5, 6, 7 and Omni 1 Exams 1, 2",phv00462160,,,use phv00462161 & phv00462162 for visit,
FHS,pht010726,l_fhslab_ex03_3b_1170s,,,"FHS EXAM LAB ASSAYS, GENERATION 3 EXAM 3, NEW OFFSPRING SPOUSE EXAM 3, OMNI 2 EXAM 3",phv00462185,phv00177934,,use phv00462186 for cohort,
FHS,pht010727,l_prothf_ex07_1_1148s,FHS OFFSPRING EXAM 7,,,phv00462203,phv00177942,,,
FHS,pht010744,t_tonla_ex02_3b_1235s,,,"Generation 3 Exam 2, Omni 2 Exam 2, and New Offspring Spouse Exam 2",phv00476561,phv00177932,,use phv00476562 to pick cohort,
FHS,pht010745,t_tonla_ex08_1b_1232s,,"case(({phv00476637} == 1, ''FHS OFFSPRING EXAM 8''), ({phv00476637} == 7 , ''FHS OMNI 1 EXAM 3''), (True, ''FHS UNKNOWN VISIT'')))",,phv00476636,,,use phv00476637 & phv00476638 to pick visit,
FHS,pht010746,t_tonla_ex09_1b_1233s,,"case(({phv00476759} == 1, ''FHS OFFSPRING EXAM 9''), ({phv00476759} == 7, ''FHS OMNI 1 EXAM 4''), (True, ''FHS UNKNOWN VISIT'')))",,phv00476758,,,use phv00476759 & phv00476760 to pick visit,
FHS,pht012880,l_inflamm_ex01_3b_1107s,,,,phv00520362,phv00177930,,use phv00520363 to pick visit,
FHS,pht012881,l_inflamm_ex07_1b_1105s,,"case(({phv00520377} == 1, ''FHS OFFSPRING EXAM 7''), ({phv00520377} == 7, ''FHS OMNI 1 EXAM 2''), (True, ''FHS UNKNOWN VISIT'')))",,phv00520376,,,use phv00520377 to pick visit,
FHS,pht012882,l_inflamm_ex08_1b_1106s,,"case(({phv00520396} == 1, ''FHS OFFSPRING EXAM 8''), ({phv00520396} == 7 , ''FHS OMNI 1 EXAM 3''), (True, ''FHS UNKNOWN VISIT'')))",,phv00520395,,,use phv00520396 to pick visit,
FHS,pht012887,l_mt1e2hnb_ex03_3_1200s,FHS GENERATION 3 EXAM 3,,,phv00520993,phv00177934,,,
FHS,pht012888,l_mt1e2hnc_ex03_3_1203s,FHS GENERATION 3 EXAM 3,,,phv00521067,phv00177934,,,
FHS,pht012897,,,"case(({phv00522522} == 2, ''FHS New Offspring Spouse Exam 3''), ({phv00522522} == 3, ''FHS Generation 3 Exam 3''), ({phv00522522} == 72, ''FHS Omni 2 Exam 3''), (True, ''FHS UNKNOWN VISIT'')))",,phv00522521,phv00177934,,use phv00522522 to disambiguate visit,
FHS ,pht002072,,FHS OFFSPRING EXAM 6,,,phv00141869,,,,
FHS ,pht002565,l_mtblcmhi1_ex05_1_0662s,FHS OFFSPRING EXAM 5,,,phv00166712,,,,
FHS ,pht002894,l_mtblcmhi2_ex05_1_0708s,FHS OFFSPRING EXAM 5,,,phv00172242,,,,
FHS ,pht004804,l_insulin_ex01_72_0937s,FHS OMNI 2 EXAM 1,,,phv00227079,,,,
HCHS,pht004715,,HCHS EXAM,,,phv00226250,phv00226251,,,
JHS,pht001921,,JHS EXAM 1,,,phv00124549,,,,
JHS,pht001922,,JHS EXAM 1,,,phv00124604,,,,
JHS,pht001923,,JHS EXAM 1,,,phv00124614,,,,
JHS,pht001926,,JHS EXAM 1,,,phv00124667,,,,
JHS,pht001940,,JHS EXAM 1,,,phv00125856,,,,
JHS,pht001941,,JHS EXAM 1,,,phv00125864,,,,
JHS,pht001945,,JHS EXAM 6,,,phv00125925,,,,
JHS,pht001948,,JHS EXAM 2,,,phv00126001,,,,
JHS,pht001955,,JHS EXAM 1,,,phv00127457,,,,
JHS,pht001959,,JHS EXAM 1,,,phv00127609,,,,
JHS,pht001960,,JHS URINE,,,phv00127641,,,,
JHS,pht001963,,JHS EXAM 1,,,phv00127670,,,,
JHS,pht001969,,JHS PULMONARY,,,phv00128197,,,,
JHS,pht001974,,JHS EXAM 1,,,phv00128355,,,,
JHS,pht008719,,JHS EXAM 9,,,phv00400683,,,,
JHS,pht008720,,JHS EXAM 9,,,phv00400740,,,,
JHS,pht008729,,JHS EXAM 1,,,phv00401078,phv00401085,,,
JHS,pht008730,,JHS EXAM 2,,,phv00401273,phv00401282,,,
JHS,pht008731,,JHS EXAM 3,,,phv00401370,phv00401379,,,
JHS,pht008733,,JHS EXAM 1,,,phv00401561,,,,
JHS,pht008734,,JHS EXAM 3,,,phv00401565,phv00401572,,,
JHS,pht008737,,JHS EXAM 6,,,phv00401588,,,,
JHS,pht008738,,JHS EXAM 9,,,phv00401621,,,,
JHS,pht008741,,JHS EXAM 6,,,phv00401710,,,,
JHS,pht008742,,JHS EXAM 1,,,phv00401725,,,,
JHS,pht008746,,JHS EXAM 1,,,phv00402039,,,,
JHS,pht008747,,JHS EXAM 2,,,phv00402377,,,,
JHS,pht008748,,JHS EXAM 6,,,phv00402732,,,,
JHS,pht008759,,JHS URINE,,,phv00403002,,,,
JHS,pht008764,,JHS EXAM 6,,,phv00403058,,,,
JHS,pht008768,,JHS EXAM 2,,,phv00403315,,,,
JHS,pht008769,,JHS EXAM 3,,,phv00403369,,,,
JHS,pht008782,,JHS EXAM 6,,,phv00403792,,,,
JHS,pht008783,,JHS EXAM 1,,,phv00403830,,,,
JHS,pht008791,,JHS LAB DATA,,,phv00404188,,,,
JHS,pht008792,,JHS LAB DATA,,,phv00404241,,,,
JHS ,pht001964,,JHS EXAM 1,,,phv00127753,,,,
JHS ,pht001966,,JHS EXAM 1,,,phv00128026,,,,
JHS ,pht001967,,JHS EXAM 1,,,phv00128084,,,,
JHS ,pht001973,,JHS EXAM 1,,,phv00128330,,,,
JHS ,pht001976,,JHS EXAM 1,,,phv00128393,,,,
JHS ,pht001977,,JHS EXAM 1,,,phv00128494,,,,
JHS ,pht002139,,JHS PEDIGREE,,,phv00156603,,,,
JHS ,pht008725,,JHS AFU,,,phv00400849,,,,
JHS ,pht008726,,JHS CHD,,,phv00401054,,,,
JHS ,pht008728,,JHS STROKE,,,phv00401067,,,,
JHS ,pht008753,,JHS EXAM 2,,,phv00402777,,,,
JHS ,pht008755,,JHS HEART FAILURE EVENTS,,,phv00402839,,,,
JHS ,pht008756,,JHS ISTROKE,,,phv00402848,,,,
JHS ,pht008765,,JHS EXAM 9,,,phv00403140,,,,
JHS ,pht008776,,JHS EXAM 9,,,phv00403571,,,,
JHS ,pht008778,,JHS EXAM 9,,,phv00403624,,,,
JHS ,pht008785,,JHS EXAM 1,,,phv00403885,,,,
JHS ,pht008786,,JHS EXAM 9,,,phv00403988,,,,
MESA,pht001109,,MESA PEDIGREE,,,phv00082629,,,,
MESA,pht001111,,MESA AIR EXAM,,,phv00082638,phv00082639,,age variable phv00084442,
MESA,pht001112,,MESA AIR SPIROMETRY,,,phv00083440,phv00083452,,,
MESA,pht001114,,MESA LUNG SPIROMETRY,,,phv00083675,phv00083687,,,
MESA,pht001116,,MESA CLASSIC EXAM 1,,,phv00084441,phv00084442,,,
MESA,pht001117,,MESA CLASSIC EXAM 2,,,phv00085751,,,,
MESA,pht001118,,MESA CLASSIC EXAM 2,,,phv00085772,phv00085773,,,
MESA,pht001119,,MESA CLASSIC EXAM 3,,,phv00086258,phv00086259,,,
MESA,pht001120,,MESA CLASSIC EXAM 4,,,phv00086726,phv00086727,,,
MESA,pht001121,,MESA FAMILY,,,phv00087070,phv00087071,,,
MESA,pht001122,,MESA FAMILY SPIROMETRY,,,phv00087666,phv00087678,,,
MESA,pht001123,,MESA CLASSIC CVE,,,phv00087848,,,,
MESA,pht001205,,MESA EXAM 4,,,phv00090067,,,,
MESA,pht001217,,MESA AFIB,,,phv00090301,,,,
MESA,pht001984,,MESA INFLAMMATION,,,phv00128699,,,,
MESA,pht002099,,,,MESA CLASSIC 1-5,phv00142665,,,,
MESA,pht002105,,MESA STRESS,,,phv00150369,,,,
MESA,pht002195,,MESA CLASSIC EXAM 1,,,phv00159095,,,,
MESA,pht002198,,,,,phv00159198,,,look up phv00160529 to get exam,
MESA,pht002512,,MESA ANCILLARY,,,phv00165046,,,,
MESA,pht002515,,MESA ANCILLARY FET,,,phv00165061,,,,
MESA,pht003086,,MESA AIR EXAM 5,,,phv00174584,,,age at phv00174588,
MESA,pht003087,,MESA LUNG CT,,,phv00175794,,,age phv00175854,
MESA,pht003088,,MESA LUNG,,,phv00175966,,,,
MESA,pht003089,,MESA ANCILLARY,,,phv00175973,,,,
MESA,pht003091,,MESA CLASSIC EXAM 5,,,phv00176007,,,age at phv00176011,
MESA,pht003659,,MESA TTD,,,phv00197114,,,,
MESA,pht004317,,MESA DIET EXAM 5,,,phv00218303,,,,
MESA,pht004319,,MESA EPIGENOMICS,,,phv00218989,,,,
MESA,pht004326,,MESA STRESS,,,phv00219018,phv00219024,,age at stress exam phv00219024,
WHI,pht000982,,WHI CON,,,phv00077314,,,,
WHI,pht000986,,WHI CBC,,,phv00077360,,,,
WHI,pht000987,,WHI CORE,,,phv00077369,,,,
WHI,pht000990,,WHI YEAR 3,,,phv00077450,,,,
WHI,pht000991,f144_rel1,WHI YEAR 4,,,phv00077671,,,,
WHI,pht000992,f145_rel1,WHI YEAR 5,,,phv00077797,,,,
WHI,pht000993,,WHI YEAR 6,,,phv00077907,,,,
WHI,pht000994,f147_rel1,WHI YEAR 7,,,phv00078109,,,,
WHI,pht000995,f148_rel1,WHI YEAR 8,,,phv00078233,,,,
WHI,pht000997,,WHI PI 20,,,phv00078385,,,,
WHI,pht000998,,WHI ELIGIBILITY,,,phv00078435,phv00078437,,,
WHI,pht000999,f30_rel2,WHI FORM 30 - MEDICAL HISTORY QUESTIONNAIRE,,,phv00078506,,,,
WHI,pht001003,,WHI PH 34,,,phv00078772,,,,
WHI,pht001004,,WHI PH 35,,,phv00082638,,,,
WHI,pht001005,,WHI TF 37,,,phv00078867,,,,
WHI,pht001006,,WHI DL 38,,,phv00079085,,,,
WHI,pht001009,,WHI PI 41,,,phv00079312,,,,
WHI,pht001010,,WHI OS 42,,,phv00079332,,,,
WHI,pht001014,,WHI YEAR 1,,,phv00079556,,,,
WHI,pht001019,,WHI PM 80,,,phv00079849,,,,
WHI,pht001031,,WHI RE,,,phv00080423,,,,
WHI,pht001514,,WHI MH 134,,,phv00111539,,,,
WHI,pht001517,,WHI FG 60 1,,,phv00111654,,,,
WHI,pht002118,ecg_rel2,WHI ELECTROCARDIOGRAM -MYOCARDIAL INFARCTION NOVACODE FOLLOW-UP,,,phv00154925,,,,
WHI,pht002125,,WHI FG 60 2,,,phv00156379,,,,
WHI,pht002754,,WHI MAIN 44,,,phv00169602,,,,
