cohort,bdchm_label,phv,phs,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,onto_id,participantidphv,associatedvisit,ageinyearsphv,source_unit,target_unit,conversion_rule,equivalent_units,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"jhs","hemoglobin a1c","phv00401717","phs000286","pht008741","glyhb: hemoglobin a1c - % [visit 6]","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00401710","JHS EXAM 6","","","","",,1,1,1,0,0,1
"jhs","hemoglobin a1c","phv00401734","phs000286","pht008742","glyhb: hemoglobin a1c - %","%","MeasurementObservation","hemo_a1c","%","OMOP:4184637","phv00401725","JHS EXAM 1","","","","",,1,1,1,0,0,1
"whi","hematocrit","phv00283662","phs000200","pht006223","""f136 hematocrit","%","MeasurementObservation","hemat","%","OBA:2045381","phv00283451","WHI UNC HEART FAILURE DETAILS","","","","",,1,1,1,0,0,1
"whi","factor vii","phv00077382","phs000200","pht000987","core factor vii concentration (%)","%","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00077369","WHI CORE","","","","",1,1,1,1,0,0,1
"fhs","von willebrand factor","phv00024571","phs000007","pht000198","von willebrand factor (%)","%","MeasurementObservation","willeb_fac","%{normal}","OBA:2052741","phv00024576","FHS OFFSPRING EXAM 5","","","","",1,1,1,1,0,0,1
"fhs","von willebrand factor","phv00227097","phs000007","pht004806","von willebrand factor","%","MeasurementObservation","willeb_fac","%{normal}","OBA:2052741","phv00227087","FHS OMNI 1 EXAM 1","","","","",1,1,1,1,0,0,1
"cardia","factor vii","phv00116361","phs000285","pht001694","factor vii (%)","%","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00116360","CARDIA YEAR 5","","","","",1,1,1,1,0,0,1
"cardia","von willebrand factor","phv00117559","phs000285","pht001739","von willebrand antigen (%)","%","MeasurementObservation","willeb_fac","%{normal}","OBA:2052741","phv00117555","CARDIA YEAR 7","","","","",1,1,1,1,0,0,1
"fhs","factor vii","phv00227096","phs000007","pht004806","factor vii","%","MeasurementObservation","factor_7","%{normal}","OBA:2041535","phv00227087","FHS OMNI 1 EXAM 1","","","","",1,1,1,1,0,0,1
"cardia","von willebrand factor","phv00116364","phs000285","pht001694","von willebrand antigen (%)","%","MeasurementObservation","willeb_fac","%{normal}","OBA:2052741","phv00116360","CARDIA YEAR 5","","","","",1,1,1,1,0,0,1
"cardia","von willebrand factor","phv00116365","phs000285","pht001694","von willebrand activity (%)","%","MeasurementObservation","willeb_fac","%{normal}","OBA:2052741","phv00116360","CARDIA YEAR 5","","","","",1,1,1,1,0,0,1
