cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good,bad_map,add_map,expr,add_var_units,note
cardia,alcohol,phv00118418,pht001760,drinks wine/week. q 2,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00118416,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00118419,pht001760,drinks beer/week. q 3,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00118416,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00118420,pht001760,drinks liquor/week. q 4,{servings}/wk,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00118416,1,1,,0,0,0,,,,1,manually fixed
cardia,alcohol,phv00118421,pht001760,drinks in past 24 hrs. q 5,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00118416,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00118422,pht001760,"most drinks/day, last month. q 6",,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00118416,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00118425,pht001760,mean ml of alcohol consumption per day,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00118416,1,1,,1,0,1,1,,,,
cardia,alcohol,phv00119513,pht001795,alcohol in past 24 hrs?,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00119471,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00119514,pht001795,beers in past 24 hrs,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00119471,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00119515,pht001795,wine in past 24 hrs,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00119471,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00119516,pht001795,liquor in past 24 hrs,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 10,phv00119471,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00119800,pht001810,mean ml of alcohol consumption per day,{servings}/d,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 15,phv00119790,1,1,,1,0,1,1,,,,
cardia,alcohol,phv00120701,pht001850,did you drink alcohol,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 15,phv00120680,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00120702,pht001850,type of alcohol,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 15,phv00120680,1,1,,0,0,0,1,,,,
cardia,alcohol,phv00120703,pht001850,number of drinks,,MeasurementObservation,alcohol_servings,{#}/wk,CARDIA YEAR 15,phv00120680,1,1,,0,0,0,1,,,,
cardia,basophils count,phv00112686,pht001563,white cell count (x 1000),,MeasurementObservation,basophil_ncnc_bld,10*3/uL,CARDIA YEAR 0,phv00112654,1,1,,0,0,0,1,,,,
cardia,basophils count,phv00112696,pht001563,basophils (%),%,MeasurementObservation,basophil_ncnc_bld,10*3/uL,CARDIA YEAR 0,phv00112654,1,1,,0,0,0,1,,/100 * {phv00112686},,GitHub issue 233
cardia,body weight,phv00117442,pht001725,ppt weight during exam 3,[lb_av],MeasurementObservation,bdy_wgt,kg,CARDIA YEAR 7,phv00117441,1,1,,0,0,0,,,,1,
cardia,body weight,phv00117443,pht001725,ppt weight during exam 4,[lb_av],MeasurementObservation,bdy_wgt,kg,CARDIA YEAR 7,phv00117441,1,1,,0,0,0,,,,1,
cardia,body weight,phv00117926,pht001749,weight - mon 96,[lb_av],MeasurementObservation,bdy_wgt,kg,CARDIA YEAR 7,phv00117898,1,1,,0,0,0,,,,1,
cardia,body weight,phv00119261,pht001790,ppt weight during exam 4. q 2,[lb_av],MeasurementObservation,bdy_wgt,kg,CARDIA YEAR 10,phv00119258,1,1,,0,0,0,,,,1,
cardia,body weight,phv00119262,pht001790,ppt weight during exam 5. q 2,[lb_av],MeasurementObservation,bdy_wgt,kg,CARDIA YEAR 10,phv00119258,1,1,,0,0,0,,,,1,
cardia,cac score,phv00118019,pht001754,total: agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 10,phv00118009,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120784,pht001854,scan 1 artery 1 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120785,pht001854,scan 1 artery 2 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120786,pht001854,scan 1 artery 3 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120787,pht001854,scan 1 artery 4 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120812,pht001854,scan 1 artery 1 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120813,pht001854,scan 1 artery 2 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120814,pht001854,scan 1 artery 3 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120815,pht001854,scan 1 artery 4 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120842,pht001854,scan 2 artery 1 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120843,pht001854,scan 2 artery 2 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120844,pht001854,scan 2 artery 3 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120845,pht001854,scan 2 artery 4 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120870,pht001854,scan 2 artery 1 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120871,pht001854,scan 2 artery 2 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120872,pht001854,scan 2 artery 3 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120873,pht001854,scan 2 artery 4 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120882,pht001854,scan 1 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120883,pht001854,scan 2 unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120884,pht001854,scan 1 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120885,pht001854,scan 2 adjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120896,pht001854,average unadjusted agatston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120897,pht001854,average adjusted agaston score,,MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,1,,,,
cardia,cac score,phv00120911,pht001854,positive scan agatston adjusted score,{score},MeasurementObservation,cac_score,{score},CARDIA YEAR 15,phv00120763,1,1,,0,0,0,,1,,1,CARDIA documentation says this is the preferred variable to use when a continuous value of cac score is needed
cardia,c-reactive protein crp,phv00120758,pht001853,c-reactive protein in ug per ml,ug/mL,MeasurementObservation,crp,mg/L,CARDIA YEAR 15,phv00120757,1,1,,0,0,0,,,,1,
