cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"cardia","diastolic blood pressure","phv00112488","pht001560","third reading dbp","","MeasurementObservation","bp_diastolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","diastolic blood pressure","phv00112483","pht001560","rz2 sbp","","MeasurementObservation","bp_diastolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","diastolic blood pressure","phv00112481","pht001560","second reading sbp","","MeasurementObservation","bp_diastolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","diastolic blood pressure","phv00112484","pht001560","rz2 dbp","","MeasurementObservation","bp_diastolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","diastolic blood pressure","phv00112489","pht001560","rz3 sbp","","MeasurementObservation","bp_diastolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","diastolic blood pressure","phv00112490","pht001560","rz3 dbp","","MeasurementObservation","bp_diastolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","diastolic blood pressure","phv00112487","pht001560","third reading sbp","","MeasurementObservation","bp_diastolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","systolic blood pressure","phv00112482","pht001560","second reading dbp","","MeasurementObservation","bp_systolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","systolic blood pressure","phv00112488","pht001560","third reading dbp","","MeasurementObservation","bp_systolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","systolic blood pressure","phv00112483","pht001560","rz2 sbp","","MeasurementObservation","bp_systolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","systolic blood pressure","phv00112489","pht001560","rz3 sbp","","MeasurementObservation","bp_systolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","systolic blood pressure","phv00112487","pht001560","third reading sbp","","MeasurementObservation","bp_systolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","systolic blood pressure","phv00112490","pht001560","rz3 dbp","","MeasurementObservation","bp_systolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","systolic blood pressure","phv00112484","pht001560","rz2 dbp","","MeasurementObservation","bp_systolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","systolic blood pressure","phv00112481","pht001560","second reading sbp","","MeasurementObservation","bp_systolic","mm[Hg]","CARDIA YEAR 0","phv00112462","","","",1,1,,0,0,0
"cardia","cac score","phv00120845","pht001854","scan 2 artery 4 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120787","pht001854","scan 1 artery 4 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120813","pht001854","scan 1 artery 2 adjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120897","pht001854","average adjusted agaston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
"cardia","cac score","phv00120786","pht001854","scan 1 artery 3 unadjusted agatston score","","MeasurementObservation","cac_score","{score}","CARDIA YEAR 15","phv00120763","","","",1,1,,0,0,0
